timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-26T16:08:35+09:00,83531,2201600,0,75937,408000000,0
2025-09-26T16:08:45+09:00,83343,2201600,0,76031,408000000,0
2025-09-26T16:08:55+09:00,83562,2201600,0,76250,408000000,0
2025-09-26T16:09:05+09:00,83500,2201600,0,76187,306000000,0
2025-09-26T16:09:15+09:00,83468,2201600,0,76406,408000000,0
2025-09-26T16:09:25+09:00,83781,2201600,0,76218,408000000,0
2025-09-26T16:09:36+09:00,83718,2201600,0,76187,510000000,0
2025-09-26T16:09:46+09:00,83562,2201600,0,76406,408000000,0
2025-09-26T16:09:56+09:00,83656,2201600,0,76468,408000000,0
2025-09-26T16:10:06+09:00,83843,2201600,0,76531,408000000,0
2025-09-26T16:10:16+09:00,84125,2201600,0,76406,510000000,0
2025-09-26T16:10:26+09:00,84031,2201600,0,76812,408000000,0
2025-09-26T16:10:36+09:00,83937,2201600,0,76593,408000000,0
2025-09-26T16:10:46+09:00,83937,2201600,0,76875,408000000,0
2025-09-26T16:10:57+09:00,84250,2201600,0,77031,408000000,0
2025-09-26T16:11:07+09:00,84343,2201600,0,76875,408000000,0
2025-09-26T16:11:17+09:00,84562,2201600,0,76687,408000000,0
2025-09-26T16:11:27+09:00,84531,2201600,0,76906,510000000,0
2025-09-26T16:11:37+09:00,84562,2201600,0,76843,408000000,0
2025-09-26T16:11:47+09:00,84281,2201600,0,76875,408000000,0
2025-09-26T16:11:57+09:00,84500,2201600,0,76968,408000000,0
2025-09-26T16:12:07+09:00,84812,2201600,0,77000,408000000,0
2025-09-26T16:12:18+09:00,84531,2201600,0,77093,408000000,0
2025-09-26T16:12:28+09:00,84812,2201600,0,77375,408000000,0
2025-09-26T16:12:38+09:00,84625,2201600,0,77218,510000000,0
2025-09-26T16:12:48+09:00,84750,2201600,0,77281,510000000,0
