timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-29T15:27:29+09:00,71906,2201600,0,67250,1300500000,0
2025-09-29T15:27:39+09:00,72093,2201600,0,67375,1300500000,0
2025-09-29T15:27:49+09:00,72062,2201600,0,67437,1300500000,0
2025-09-29T15:27:59+09:00,72031,2201600,0,67718,1300500000,0
2025-09-29T15:28:09+09:00,72343,2201600,0,67875,1300500000,0
2025-09-29T15:28:19+09:00,72156,2201600,0,67812,1300500000,0
2025-09-29T15:28:29+09:00,72343,2201600,0,67781,1300500000,0
2025-09-29T15:28:39+09:00,72375,2201600,0,67875,1300500000,0
2025-09-29T15:28:49+09:00,72625,2201600,0,68187,1300500000,0
2025-09-29T15:28:59+09:00,72531,2201600,0,68281,1300500000,0
2025-09-29T15:29:09+09:00,72593,2201600,0,68437,1300500000,0
2025-09-29T15:29:19+09:00,72781,2201600,0,68250,1300500000,0
2025-09-29T15:29:29+09:00,72843,2201600,0,68375,1300500000,0
2025-09-29T15:29:39+09:00,72875,2201600,0,68468,1300500000,0
2025-09-29T15:29:49+09:00,73031,2201600,0,68687,1300500000,0
2025-09-29T15:29:59+09:00,72968,2201600,0,68906,1300500000,0
2025-09-29T15:30:09+09:00,73000,2201600,0,69000,1300500000,0
2025-09-29T15:30:19+09:00,73312,2201600,0,68687,1300500000,0
2025-09-29T15:30:29+09:00,73250,2201600,0,68875,1300500000,0
2025-09-29T15:30:39+09:00,73187,2201600,0,68968,1300500000,0
2025-09-29T15:30:49+09:00,73468,2201600,0,68937,1300500000,0
2025-09-29T15:30:59+09:00,73468,2201600,0,68968,1300500000,0
2025-09-29T15:31:09+09:00,73406,2201600,0,69031,1300500000,0
2025-09-29T15:31:19+09:00,73625,2201600,0,69125,1300500000,0
2025-09-29T15:31:29+09:00,73718,2201600,0,69343,1300500000,0
2025-09-29T15:31:39+09:00,74000,2201600,0,69531,1300500000,0
2025-09-29T15:31:49+09:00,73843,2201600,0,69531,1300500000,0
2025-09-29T15:31:59+09:00,73906,2201600,0,69406,1300500000,0
2025-09-29T15:32:09+09:00,74250,2201600,0,69468,1300500000,0
2025-09-29T15:32:19+09:00,74125,2201600,0,69593,1300500000,0
2025-09-29T15:32:29+09:00,74000,2201600,0,69812,1300500000,0
2025-09-29T15:32:40+09:00,74187,2201600,0,69906,1300500000,0
2025-09-29T15:32:50+09:00,74062,2201600,0,70093,1300500000,0
2025-09-29T15:33:00+09:00,74406,2201600,0,70093,1300500000,0
2025-09-29T15:33:10+09:00,74375,2201600,0,69906,1300500000,0
2025-09-29T15:33:20+09:00,74312,2201600,0,70031,1300500000,0
2025-09-29T15:33:30+09:00,74593,2201600,0,70125,1300500000,0
2025-09-29T15:33:40+09:00,74593,2201600,0,70468,1300500000,0
2025-09-29T15:33:50+09:00,74562,2201600,0,70593,1300500000,0
2025-09-29T15:34:00+09:00,74781,2201600,0,70187,1300500000,0
